"","start","finish","-abs(fuzzy_ranges$fa_lb)"
"Ambolostoma_baileyi",-365.24435,-342.7731,-352.2
"Angioblastus_boliviensis",-306.2113,-288.8025,-298.9
"Angioblastus_dotti",-306.2113,-303.7639,-305.75
"Asterocrinus_benniei",-361.1185,-330.33795,-331
"Brachyschisma_corrugatum",-400.1355,-392.87,-394.3
"Cheirocystis_fultonensis",-488.2755,-451.123,-451.2
"Codaster_acutus",-348.5452,-330.08135,-331
"Cribroblastus_cornutus",-360.011,-340.00715,-343.8
"Cryptoblastus_melo",-365.31175,-348.99,-350.9
"Cryptoschisma_schulzii",-414.19,-400.867,-402
"Cupulocorona_gemmiformis",-450.1415,-432.244,-433.05
"Decaschisma_pulchellus",-434.3305,-431.0635,-431.75
"Decemboblastus_melonoides",-361.1185,-347.0259,-348.5
"Deliablastus_cumberlandensis",-365.31175,-345.09675,-346.75
"Deltoblastus_batheri",-287.4929,-287.4929,-290.5
"Deltoblastus_permicus",-340.6363,-284.7129,-290.5
"Devonoblastus_whiteavesi",-404.5055,-382.4555,-385.3
"Diploblastus_glaber",-382.946,-334.5961,-335.55
"Elaeacrinus_verneuili",-391.3485,-390.1485,-394.3
"Eleutherocrinus_cassadayi",-387.4395,-381.8475,-384.1
"Ellipticoblastus_ellipticus",-365.11985,-345.0488,-345.2
"Globoblastus_norwoodi",-377.47085,-346.43105,-348.5
"Granatocrinus_granulatus",-362.36835,-344.80675,-346.75
"Hadroblastus_convexus",-377.75745,-351.92245,-352.2
"Heteroschisma_alternatus",-393.9885,-391.2605,-392.5
"Hydroblastus_herdyi",-383.276,-380.7805,-381.8
"Hyperoblastus_goldringae",-382.946,-382.946,-384.1
"Iranoblastus_nodosus",-385.9655,-318.60745,-319.15
"Leptoschisma_lorae",-436.1145,-416.6165,-417.6
"Lophoblastus_neglectus",-377.75745,-348.6475,-350.9
"Mesoblastus_crenulatus",-362.36835,-357.6465,-359.3
"Metablastus_wortheni",-367.73075,-344.4562,-346.75
"Monadoblastus_granulosus",-380.7475,-351.9447,-352.2
"Monoschizoblastus_rofei",-368.95425,-333.09315,-333.3
"Notoblastus_brevispinus",-304.0135,-268.6,-268.95
"Nucleocrinus_elegans",-391.3485,-384.508,-385.3
"Orbiblastus_hoskyni",-371.7918,-346.8657,-347.6
"Orophocrinus_stelliformis",-362.4843,-350.4474,-350.9
"Pentremites_godoni",-348.7798,-330.91205,-333.4
"Pentremites_pulchellus",-340.6363,-334.5916,-335.55
"Pentremitidea_paillettei",-420.8355,-400.5395,-402
"Perittoblastus_liratus",-401.7,-344.9299,-346.75
"Phaenoblastus_caryophyllatus",-368.56425,-348.81155,-350.9
"Pinguiblastus_tushanensis",-366.23315,-348.99795,-359.3
"Placoblastus_obovatus",-385.9655,-380.3885,-380.9
"Pleuroschisma_lycorias",-387.414,-383.155,-384.1
"Polydeltoideus_enodatus",-453.8975,-422.7705,-423.8
"Poroblastus_granulosus",-365.6705,-343.7056,-346.75
"Pterotoblastus_gracilis",-287.4929,-284.8875,-290.5
"Sagittoblastus_wanneri",-326.8698,-284.1805,-286
"Schizoblastus_sayi",-371.13205,-347.25785,-348.5
"Sinopetaloblastus_jinxingae",-400.1355,-365.8861,-370
"Stephanocrinus_angulatus",-450.1415,-432.03,-433.05
"Tanaoblastus_roemeri",-365.11985,-352.0276,-355.15
"Timoroblastus_coronatus_constrictus",-318.9805,-283.14665,-290.5
"Tricoelocrinus_woodmani",-360.011,-342.99685,-343.8
"Troosticrinus_reinwardti",-434.6975,-429.8505,-430.6
