No.,txn,taxon,max_age,min_age,FA_lb,FA_ub,LA_lb,LA_ub,No.,taxon,max_age,min_age,,taxon,max_age,min_age
16,1,Aristocystites_bohemicus,183.6,182.7,452.25,451.35,451.35,450.65,1,Aristocystites_bohemicus,467.3,445.2,TRUE,Aristocystites_bohemicus,452.25,451.35
20,2,Asteroblastus_stellatus,199.4,198.3,468,466.95,468,466.95,2,Asteroblastus_stellatus,467.3,458.4,TRUE,Asteroblastus_stellatus,468,466.95
18,3,Dactylocystis_schmidti,183.5,182.9,452.15,451.5,452.15,451.5,3,Dactylocystis_schmidti,453,445.2,TRUE,Dactylocystis_schmidti,452.15,451.5
15,4,Estonocystis_antropoffi,189.6,188.9,458.2,457.55,452.15,451.5,4,Estonocystis_antropoffi,458.4,453,TRUE,Estonocystis_antropoffi,458.2,457.55
10,5,Eucystis_angelini,180.8,176.6,449.4,445.2,448.6,445.2,5,Eucystis_angelini,453,445.2,TRUE,Eucystis_angelini,449.4,445.2
13,6,Eumorphocystis_multiporata,188.2,186.6,456.8,455.2,456,454.15,6,Eumorphocystis_multiporata,458.4,453,TRUE,Eumorphocystis_multiporata,456.8,455.2
19,7,Fungocystites_rarissimus,183.6,182.7,452.25,451.35,452.25,451.35,7,Fungocystites_rarissimus,458.4,453,TRUE,Fungocystites_rarissimus,452.25,451.35
14,8,Glyptosphaerites_leuchtenbergi,199.4,195.7,468,464.35,461.6,459.75,8,Glyptosphaerites_leuchtenbergi,467.3,458.4,TRUE,Glyptosphaerites_leuchtenbergi,468,464.35
9,9,Gomphocystites_indianensis,163.5,163.2,432.15,431.85,432.15,431.85,9,Gomphocystites_indianensis,433.4,427.4,TRUE,Gomphocystites_indianensis,432.15,431.85
12,10,Haplosphaeronis_oblonga,184.1,182.8,452.75,451.45,443.95,443.05,10,Haplosphaeronis_oblonga,458.4,445.2,TRUE,Haplosphaeronis_oblonga,452.75,451.45
