taxon,Family,color
Ctenocystis utahensis,Ctenocystoidea,gray50
Gyrocystis platessa,Gyrocystidae,orange
Gyrocystis testudiformis,Gyrocystidae,orange
Gyrocystis cruzae,Gyrocystidae,orange
Gyrocystis badulesiensis,Gyrocystidae,orange
Gyrocystis erecta,Gyrocystidae,orange
Progyrocystis disjuncta,Gyrocystidae,orange
Protocinctus mansillaensis,Sucocystidae,dodgerblue
Elliptocinctus barrandei,Sucocystidae,dodgerblue
Elliptocinctus vizcainoi,Sucocystidae,dodgerblue
Sucocystis theronensis,Sucocystidae,dodgerblue
Sucocystis bretoni,Sucocystidae,dodgerblue
Lignanicystis barriosensis,Sucocystidae,dodgerblue
Undatacinctus undata,Sucocystidae,dodgerblue
Undatacinctus acrofera,Sucocystidae,dodgerblue
Undatacinctus quadricornuta,Sucocystidae,dodgerblue
Undatacinctus melendezi,Sucocystidae,dodgerblue
Asturicystis jaekeli,Gyrocystidae,orange
Sotocinctus ubaghsi,Trochocystitidae,purple
Trochocystites bohemicus,Trochocystitidae,purple
Trochocystoides parvus,Trochocystitidae,purple
Ludwigicinctus truncatus,Sucocystidae,dodgerblue
Graciacystis ambigua,Gyrocystidae,orange
Bohemiacinctus havliceki,Sucocystidae,dodgerblue
Nelegerocystis ivantzovi,Trochocystitidae,purple
Rozanovicystis triangularis,Rozanovicystidae,forestgreen
Davidocinctus pembrokensis,Unassigned,gray50
