taxon,fa_lb,fa_ub,la_lb,la_ub
Ctenocystis_utahensis,506.6,506.5,501,500.5
Gyrocystis platessa,504.9,504.5,501,499.3
Gyrocystis testudiformis,503.1,502.5,503.1,502.5
Gyrocystis cruzae,503.1,501,503.1,501
Gyrocystis badulesiensis,503.1,501,503.1,501
Gyrocystis erecta,503.1,501,501.6,501
Progyrocystis disjuncta,503.1,501,503.1,501
Protocinctus mansillaensis,506.6,505.4,506.6,505.4
Elliptocinctus barrandei,501.6,501,501.6,499.3
Elliptocinctus vizcainoi,504.5,503.4,504.5,503.4
Sucocystis theronensis,501.6,501,501.6,501
Sucocystis bretoni,501,500.5,501,500.5
Lignanicystis barriosensis,501.6,501,501.6,501
Undatacinctus undata,501,499.3,501,499.3
Sucocystis acrofera,499.3,498.2,499.3,498.2
Undatacinctus quadricornuta,501,499.3,501,499.3
Undatacinctus melendezi,501,499.3,498.2,497
Asturicystis jaekeli,504.9,504.5,504.9,504.5
Sotocinctus ubaghsi,505.4,504.9,505.4,504.5
Trochocystites bohemicus,505.2,504.5,503,502.2
Trochocystoides parvus,504.5,503.7,504.5,503.7
Ludwigicinctus truncatus,501.6,500.5,501.6,500.5
Graciacystis ambigua,504.9,504.5,503.7,503.1
Asturicystis havliceki,505.2,504.9,505.2,504.9
Nelegerocystis ivantzovi,505.4,500.5,505.4,500.5
Rozanovicystis triangularis,505.4,500.5,505.4,500.5
Davidocinctus pembrokensis,504.5,503.4,504.5,503.4
